0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
h_sched_245,Heating,Multiple,Temperature,,23,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,21,21,21,21
c_sched_220,Cooling,Multiple,Temperature,,22,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,50,50,50,50
c_sched_225,Cooling,Multiple,Temperature,,22.5,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,50,50,50,50
c_sched_230,Cooling,Multiple,Temperature,,23,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,50,50,50,50
c_sched_235,Cooling,Multiple,Temperature,,23.5,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,50,50,50,50
c_sched_240,Cooling,Multiple,Temperature,,24,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50
c_sched_245,Cooling,Multiple,Temperature,,24.5,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,50,50,50,50
c_sched_250,Cooling,Multiple,Temperature,,25,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,50
c_sched_255,Cooling,Multiple,Temperature,,24,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,50,50,50,50
c_sched_260,Cooling,Multiple,Temperature,,24.5,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,50,50,50,50
c_sched_265,Cooling,Multiple,Temperature,,25,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,50,50,50,50
c_sched_270,Cooling,Multiple,Temperature,,25,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,50,50,50,50
Office_Heating,Heating,NoChange,Temperature,,NCM,,,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Office_Cooling,Cooling,NoChange,Temperature,,NCM,,,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Office_OccSched,OccSched,Multiple,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,1,0.5,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office_EquipSched,OccSched,Multiple,Fraction,,,,,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909,0.053941909
Office_LightSched,OccSched,Multiple,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant_OccSched,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Server_OccSched,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlwaysOff,AlwaysOff,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WifiSum,OccSched,Multiple,Fraction,,6.935,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.06,0.11,0.24,0.36,0.47,0.55,0.63,0.68,0.7,0.67,0.65,0.69,0.74,0.76,0.76,0.77,0.75,0.73,0.66,0.55,0.47,0.37,0.28,0.21,0.15,0.12,0.11,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.07,0.08,0.12,0.12,0.14,0.13,0.16,0.15,0.19,0.15,0.21,0.18,0.2,0.16,0.16,0.15,0.13,0.1,0.11,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.03,0.02,0.02
WifiSumPlusStd,OccSched,Multiple,Fraction,,,,,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.07,0.15,0.31,0.47,0.61,0.71,0.81,0.88,0.91,0.87,0.85,0.89,0.95,0.98,0.99,1,0.97,0.94,0.86,0.72,0.61,0.48,0.36,0.3,0.2,0.16,0.14,0.11,0.1,0.08,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.1,0.1,0.15,0.16,0.18,0.17,0.21,0.2,0.26,0.2,0.28,0.24,0.26,0.22,0.21,0.2,0.18,0.13,0.14,0.13,0.12,0.1,0.1,0.09,0.07,0.07,0.04,0.03,0.02
WifiSumMinusStd,OccSched,Multiple,Fraction,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.08,0.16,0.25,0.33,0.38,0.44,0.47,0.49,0.47,0.46,0.48,0.52,0.53,0.53,0.54,0.52,0.51,0.46,0.38,0.32,0.26,0.19,0.15,0.11,0.08,0.07,0.06,0.05,0.04,0.02,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.05,0.08,0.08,0.09,0.09,0.11,0.1,0.13,0.1,0.14,0.12,0.13,0.11,0.11,0.1,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.02,0.02,0.01
Server_LightSched,LightSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant_LightSched,LightSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Server_EquipSched,EquipSched,NoChange,Fraction,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Plant_EquipSched,EquipSched,NoChange,Fraction,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ScheduleTypeLimits,Control,Discrete,Control,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScheduleTypeLimits,Thermal,Continuous,Temperature,,,,,-20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScheduleTypeLimits,Fraction,Continuous,Dimensionless,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScheduleTypeLimits,Number,Continuous,Dimensionless,,,,,0,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
